year,level_1,value
2018,Salmon (Per Kilogram),30.96
2018,Sea Bass (Per Kilogram),11.99
2018,Sea Bream (Ang Ko Li) (Per Kilogram),9.85
2018,Golden Snapper (Per Kilogram),18.95
2018,Spanish Mackerel (Batang) (Per Kilogram),12.4
2018,Threadfin (Kurau) (Per Kilogram),59.01
2018,Small Prawns (Per Kilogram),14.45
2018,Medium Prawns (Per Kilogram),19.6
2018,Squids (Per Kilogram),16.24
2018,Fresh Milk (Per Litre),2.86
2018,Infant Milk Powder (Per 100 Gram),6.31
2018,Cheese (Per 12 Slices),4.74
2018,Hen Eggs (Per 10),2.14
2018,Cooking Oil (Per 2 Kilogram),5.96
2018,Bananas (Per Kilogram),2.34
2018,Papaya (Per Kilogram),2.17
2018,Watermelon (Per Kilogram),1.65
2018,Grapes (Per Kilogram),9.89
2018,Orange (Each),0.44
2018,Apple (Each),0.43
2018,Pear (Each),1.03
2018,Broccoli (Per Kilogram),5.68
2018,Cabbage (Per Kilogram),2.23
2018,Chinese Kale (Kailan) (Per Kilogram),5.54
2018,Small Mustard (Chye Sim) (Per Kilogram),3.46
2018,Spinach (Bayam) (Per Kilogram),3.03
2018,Tomatoes (Per Kilogram),2.25
2018,Potatoes (Per Kilogram),2.23
2018,Carrots (Per Kilogram),2.16
2018,White Sugar (Per 2 Kilogram),3.22
2018,Instant Coffee (Per 200 Gram),10.12
2018,Aerated Soft Drinks (Per 4 Cans),2.62
2018,Non-aerated Soft Drinks (Per 6 Packets),2.37
2018,Beer (Per 6 Cans),16.32
2018,Cigarettes (Per Pack),13.02
2018,Coffee/tea Without Milk (Per Cup),1.04
2018,Coffee/tea With Milk (Per Cup),1.15
2018,Fishball Noodle (Per Bowl),3.38
2018,Mee Rebus (Per Bowl),3.22
2018,Chicken Rice (Per Plate),3.36
2018,Chicken Nasi Briyani (Per Plate),5.56
2018,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.29
2018,Roti Prata (Plain) (Per Piece),1.07
2018,Fried Carrot Cake (Per Plate),3.01
2018,Ice Kachang (Per Bowl),1.98
2018,Diesel (Per Litre),1.56
2018,"Petrol, 98 Octane (Per Litre)",2.47
2018,"Petrol, 95 Octane (Per Litre)",2.14
2018,"Petrol, 92 Octane (Per Litre)",2.08
2018,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.66
2019,Premium Thai Rice (Per 5 Kilogram),13.42
2019,Ordinary White Bread (Per 400 Gram),1.73
2019,Vitamin Enriched Bread (Per 400 Gram),1.65
2019,Wholemeal Bread (Per 400 Gram),2.07
2019,Instant Noodles (Per 5 Packets),2.24
2019,"Lean Pork, Chilled (Per Kilogram)",13.97
2019,"Streaky Pork, Chilled (Per Kilogram)",15.67
2019,"Pork Rib Bones, Chilled (Per Kilogram)",16.91
2019,"Beef, Chilled (Per Kilogram)",24.91
2019,"Mutton, Chilled (Per Kilogram)",19.9
2019,"Whole Chicken, Chilled (Per Kilogram)",6.36
2019,"Chicken Wing, Chilled (Per Kilogram)",8.4
2019,"Duck, Chilled (Per Kilogram)",7.04
2019,"Lean Pork, Frozen (Per 500 Gram)",4.33
2019,"Pork Rib Bones, Frozen (Per 500 Gram)",4.55
2019,Cod Fish (Per Kilogram),66.06
2019,Gold Banded Scad (Kuning) (Per Kilogram),8.26
2019,Flowery Grouper (Per Kilogram),14.13
2019,White Pomfret (Per Kilogram),29.06
2019,Salmon (Per Kilogram),30.09
2019,Sea Bass (Per Kilogram),11.93
2019,Sea Bream (Ang Ko Li) (Per Kilogram),9.96
2019,Golden Snapper (Per Kilogram),18.45
2019,Spanish Mackerel (Batang) (Per Kilogram),12.77
2019,Threadfin (Kurau) (Per Kilogram),59.63
2019,Small Prawns (Per Kilogram),14.9
2019,Medium Prawns (Per Kilogram),19.68
2019,Squids (Per Kilogram),17.02
2019,Fresh Milk (Per Litre),3.21
2019,Infant Milk Powder (Per 100 Gram),6.14
2019,Cheese (Per 12 Slices),5.89
2019,Hen Eggs (Per 10),2.39
2019,Cooking Oil (Per 2 Kilogram),5.82
2019,Bananas (Per Kilogram),2.38
2019,Papaya (Per Kilogram),2.21
2019,Watermelon (Per Kilogram),1.6
2019,Grapes (Per Kilogram),10.22
2019,Orange (Each),0.56
2019,Apple (Each),0.43
2019,Pear (Each),1.29
2019,Broccoli (Per Kilogram),5.61
2019,Cabbage (Per Kilogram),2.31
2019,Chinese Kale (Kailan) (Per Kilogram),5.05
2019,Small Mustard (Chye Sim) (Per Kilogram),3.77
2019,Spinach (Bayam) (Per Kilogram),3.46
2019,Tomatoes (Per Kilogram),2.2
2019,Potatoes (Per Kilogram),2.26
2019,Carrots (Per Kilogram),2.08
2019,White Sugar (Per 2 Kilogram),3.05
2019,Instant Coffee (Per 200 Gram),10.18
2019,Aerated Soft Drinks (Per 4 Cans),2.75
2019,Non-aerated Soft Drinks (Per 6 Packets),2.39
2019,Beer (Per 6 Cans),16.15
2019,Cigarettes (Per Pack),13.08
2019,Coffee/tea Without Milk (Per Cup),1.06
2019,Coffee/tea With Milk (Per Cup),1.17
2019,Fishball Noodle (Per Bowl),3.46
2019,Mee Rebus (Per Bowl),3.26
2019,Chicken Rice (Per Plate),3.4
2019,Chicken Nasi Briyani (Per Plate),5.58
2019,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.34
2019,Roti Prata (Plain) (Per Piece),1.09
2019,Fried Carrot Cake (Per Plate),3.05
2019,Ice Kachang (Per Bowl),2.03
2019,Diesel (Per Litre),1.68
2019,"Petrol, 98 Octane (Per Litre)",2.5
2019,"Petrol, 95 Octane (Per Litre)",2.12
2019,"Petrol, 92 Octane (Per Litre)",2.08
2019,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.65
2020,Premium Thai Rice (Per 5 Kilogram),13.75
2020,Ordinary White Bread (Per 400 Gram),1.74
2020,Vitamin Enriched Bread (Per 400 Gram),1.63
2020,Wholemeal Bread (Per 400 Gram),2.1
2020,Instant Noodles (Per 5 Packets),2.3
2020,"Lean Pork, Chilled (Per Kilogram)",15.32
2020,"Streaky Pork, Chilled (Per Kilogram)",17.19
2020,"Pork Rib Bones, Chilled (Per Kilogram)",18.51
2020,"Beef, Chilled (Per Kilogram)",25.18
2020,"Mutton, Chilled (Per Kilogram)",22.03
2020,"Whole Chicken, Chilled (Per Kilogram)",6.32
2020,"Chicken Wing, Chilled (Per Kilogram)",8.43
2020,"Duck, Chilled (Per Kilogram)",7.17
2020,"Lean Pork, Frozen (Per 500 Gram)",4.9
2020,"Pork Rib Bones, Frozen (Per 500 Gram)",5.88
2020,Cod Fish (Per Kilogram),65.63
2020,Gold Banded Scad (Kuning) (Per Kilogram),8.21
2020,Flowery Grouper (Per Kilogram),13.75
2020,White Pomfret (Per Kilogram),30.15
2020,Salmon (Per Kilogram),29.83
2020,Sea Bass (Per Kilogram),11.7
2020,Sea Bream (Ang Ko Li) (Per Kilogram),9.93
2020,Golden Snapper (Per Kilogram),18.79
2020,Spanish Mackerel (Batang) (Per Kilogram),12.95
2020,Threadfin (Kurau) (Per Kilogram),60.32
2020,Small Prawns (Per Kilogram),15.28
2020,Medium Prawns (Per Kilogram),20.12
2020,Squids (Per Kilogram),17.72
2020,Fresh Milk (Per Litre),3.33
2020,Infant Milk Powder (Per 100 Gram),6.16
2020,Cheese (Per 12 Slices),5.77
2020,Hen Eggs (Per 10),2.4
2020,Cooking Oil (Per 2 Kilogram),6.21
2020,Bananas (Per Kilogram),2.43
2020,Papaya (Per Kilogram),2.2
2020,Watermelon (Per Kilogram),1.59
2020,Grapes (Per Kilogram),11.18
2020,Orange (Each),0.59
2020,Apple (Each),0.43
2020,Pear (Each),1.28
2020,Broccoli (Per Kilogram),5.7
2020,Cabbage (Per Kilogram),2.34
2020,Chinese Kale (Kailan) (Per Kilogram),5.19
2020,Small Mustard (Chye Sim) (Per Kilogram),3.98
2020,Spinach (Bayam) (Per Kilogram),3.57
2020,Tomatoes (Per Kilogram),2.63
2020,Potatoes (Per Kilogram),2.41
2020,Carrots (Per Kilogram),2.03
2020,White Sugar (Per 2 Kilogram),3.08
2020,Instant Coffee (Per 200 Gram),10.19
2020,Aerated Soft Drinks (Per 4 Cans),2.91
2020,Non-aerated Soft Drinks (Per 6 Packets),2.56
2020,Beer (Per 6 Cans),15.61
2020,Cigarettes (Per Pack),13.06
2020,Coffee/tea Without Milk (Per Cup),1.07
2020,Coffee/tea With Milk (Per Cup),1.17
2020,Fishball Noodle (Per Bowl),3.5
2020,Mee Rebus (Per Bowl),3.3
2020,Chicken Rice (Per Plate),3.47
2020,Chicken Nasi Briyani (Per Plate),5.65
2020,Economical Rice (1 Meat & 2 Vegetables) (Per Plate),3.37
2020,Roti Prata (Plain) (Per Piece),1.11
2020,Fried Carrot Cake (Per Plate),3.09
2020,Ice Kachang (Per Bowl),2.07
2020,Diesel (Per Litre),1.57
2020,"Petrol, 98 Octane (Per Litre)",2.36
2020,"Petrol, 95 Octane (Per Litre)",1.95
2020,"Petrol, 92 Octane (Per Litre)",1.91
2020,Liquefied Petroleum Gas (LPG) (Per Kilogram),2.8
